median_income,median_house_value
3.7708,215300
3.9444,212900
5.2601,292700
2.5444,275000
2.6447,200000
2.5762,173400
1.9427,102200
2.9688,220800
3.75,242800
5.1702,265400
2.5139,219000
2.9732,282100
5.5337,372000
4.1667,225800
2.7115,220800
3.3269,234500
3.2685,254200
4.7778,351800
4.226,275000
3.3571,405400
2.9899,228100
2.875,234000
2.3882,162500
2.975,243400
5.1039,273800
4.1458,248500
3.4762,244000
2.6833,240900
5.75,306300
3.9632,240000
4.9489,247100
4.8711,286600
3.0718,266700
3.6719,229800
4.6094,229300
4.5213,228400
4.4562,206200
7.611,350700
3.2689,231000
3.567,252900
3.6875,353900
4.7695,291700
3.1972,100000
7.2634,341600
7.0568,412500
4.635,248600
5.3015,254900
4.9801,241500
5.4834,295200
6.187,340400
5.6194,274700
5.4639,238600
5.1498,266400
5.8382,330200
4.65,206800
4.3819,209200
3.7222,195800
5.2855,253500
4.3375,241800
5.2131,252500
6.005,263900
5.0519,227000
4.8237,220900
5.2497,259300
4.125,232500
4.6005,231600
3.5187,209400
3,223200
3.4934,209900
2.9861,208200
2.5362,203800
3.3021,195700
3.0964,190500
2.8512,181000
3.3478,184900
2.3958,190800
3.5295,242200
4.8036,188300
3.851,183500
4.0662,204200
4.6042,251900
2.2,187500
4.1164,198200
3.95,219000
4.9135,275000
2.8355,245400
3.25,177500
2.8301,171600
3.7159,183300
2.5625,175000
3.8047,156700
3.375,157500
3.244,179800
4.0268,205500
3.3906,178900
5.5461,262500
3.371,165000
3.5313,159700
3.663,158300
2.875,144800
4.0202,166300
4.5553,191000
3.4643,175000
3.3431,137500
2.1898,141700
2.9097,210900
3.375,198300
2.8125,157400
5,264700
3.0673,218400
3.8125,235100
6.9096,341800
7.912,367300
3.8393,243500
4,167900
6.5095,371200
3.5156,218900
2.983,202700
3.524,186200
3.1103,188900
3.5781,180000
3.1682,202700
2.6101,181700
3.6932,166800
3.4583,183700
3.9032,218000
4.0208,191500
3.5547,194700
4.5859,187200
2.6321,223100
3.395,271300
3.9702,194100
5.0043,190400
4.4659,189100
3.6625,184600
3.8864,197300
3.4583,192600
3.7813,192200
2.9917,194600
4.4375,193500
4,202600
2.3869,83300
4.7609,212600
5.4858,187800
4.3971,205700
4.0109,192900
4.3864,205200
4.2841,213400
5.1312,183600
2.9958,178400
3.6364,219200
2.7955,183100
2.9507,157100
3.4375,157800
2.875,161700
3.0345,152100
2.679,144900
2.9922,179900
4.1042,179100
2.5833,159900
2.1552,161400
2.3274,170400
2.4206,137500
3.9063,178400
2.6464,155200
3.4643,160900
2.3973,167300
6.5,340000
6.0574,431000
3.8958,301100
4.7813,241900
3.2829,162500
5.3169,299200
6.2579,315500
5.1701,216800
3.25,218100
3.1796,170300
2.4196,275000
2.6563,184100
0.9637,160000
2.3357,175000
3.5114,197500
3.3125,150000
2.4042,205600
2.8322,170300
2.5156,190900
3.4032,196900
2.535,174000
2.5772,170200
3.0962,180900
2.9564,150500
3.125,167100
2.95,148900
4.38,196400
4.0417,191100
3.8,187500
3.4839,180600
4.0588,182800
4.1974,179300
3.6,179400
4.267,210300
4.2386,192300
5.5797,198100
4.0682,196200
3.1734,181600
4.7933,186900
4.8125,188300
3.8676,184000
3.9395,184700
3.2434,179900
3.0917,167200
3.0645,165400
2.7019,154000
3.1115,153500
3.4722,135400
2.2222,158300
6.1104,240700
4.2733,180700
3.2465,230600
3.2417,210800
3.875,165300
6.0501,254200
6.8233,332600
6.3501,350000
2.6719,161200
3.875,179300
2.5625,154300
3.016,161800
2.7694,161900
3.6818,165400
2.1382,166600
3.7303,149700
3.875,162100
3.0489,152600
2.8203,195200
4.3897,190600
4.7143,193800
4.6875,200600
3.2091,150000
4.275,185300
4.1302,172700
3.09,174100
4.5417,194400
4.6635,206700
4.4427,204500
4.5303,175000
2.375,137500
3.8171,187200
4.5281,173600
4.3456,163000
3.4861,331600
5.2312,197600
3.6708,197900
3.8875,228100
3.9167,189500
3.9063,184200
3.7895,180900
3.8,172000
5.7309,177900
4.1141,173100
5.2838,172600
3.3479,182100
3.142,179500
3.7614,176000
4.25,192600
3.9338,182700
2.5158,134900
2.4808,157600
4.7083,190900
4.1652,158200
3.5541,350000
3.8036,158200
3.8259,146100
3.2331,226700
4.7109,198700
4.2468,221200
6.396,208500
3.8125,204200
3.2857,193200
3.8929,209500
3.7262,164900
4.0125,161400
4.1719,187000
4.2857,190400
3.6458,156600
2.6875,157300
3.7292,168100
4.5913,177600
3.8625,208900
3.3611,169200
2.8971,163900
4.0326,164700
4.0682,156900
5.3644,168800
4.7019,174100
5.64,206500
3.7931,203900
4.6458,217000
3.694,159600
2.652,159800
3.5,154300
3.2386,149600
5.097,188600
4.3875,238500
4.625,235300
5.0406,261400
5.8704,234400
5.3226,231700
4.235,156300
4.825,222000
5.5218,254400
6.5116,244300
6.0661,247000
6.0074,236500
4.6211,151400
5.225,213700
5.3428,243600
3.7462,212500
4.5721,214700
3.6923,213200
4.6786,256000
2.875,237500
3.3617,178100
5.7579,231800
2.9706,147900
3.9022,191700
4.6146,247600
5.7192,283500
3.6832,216900
6.2073,282500
5.8151,295600
5.8322,281800
5.6277,269800
5.2879,231200
6.5615,318300
5.6758,253400
6.1047,278200
3.5714,300000
6.0824,273500
4.3594,223400
5.5737,214500
4.8962,220200
4.6978,240300
4.4259,158000
3.3008,224200
4.5687,177200
3.8179,216100
5,269700
4.3393,231200
4.1387,162500
4.8052,254000
4.6349,196200
3.168,189400
3.1326,220800
2.9074,213800
8.3996,442900
6.6478,333400
6.629,352400
6.2179,305300
5.761,259600
4.6641,248900
6.7599,356000
3.9909,236000
4.2955,218800
4.9615,228000
2.6198,235900
4.7135,203200
4.75,197000
5.4299,236400
4.6,223200
4.1947,222700
5.388,225000
3.9444,240100
5.3283,227900
4.8403,268600
5.1616,275100
4.9167,256300
4.1591,332400
5,287600
5.8325,298900
5.7057,287600
5.0423,222200
4.5317,232600
5.4359,258300
5.0824,230900
5.2308,196900
4.4107,223500
5.2396,223900
4.7478,243500
8.4045,451100
9.7194,500001
5.1643,193100
5.3813,264400
6.0878,246900
6.868,337300
6.992,284800
4.9118,217300
4.4357,291700
4.9464,223800
5.2882,223100
5.1321,211300
3.9667,218500
3.1696,156300
5.0838,248200
4.8214,186000
4.1406,178200
3.7364,190400
3.535,210300
5.0739,208000
3.256,183300
6.0667,245700
5.7072,242200
4.9867,181700
5.1437,299400
5.347,219500
5.7233,231800
4.4697,221300
4.9107,213800
4.2281,206000
5.0143,271100
7.2494,336500
5.1406,315600
8.3337,500001
7.316,285400
6.4994,323000
7.2211,291900
4.4087,225600
5.9345,259600
6.177,262900
5.817,257300
6.3132,259200
6.3373,339700
7.333,337200
6.2918,334100
6.5214,311500
6.4524,296900
6.0604,247900
6.5285,300400
7.2639,332400
7.4353,389800
3.1127,233000
2.4896,238500
5.0677,233300
2.1187,231300
10.9506,475800
7.0691,393200
5.5,247200
4.9879,229400
6.8132,282500
5.6399,300600
4.1597,293200
5.7519,278500
5.6417,352900
10.3203,400000
4.3472,375000
6.6827,313700
3.62,139300
7.3588,327500
5.7239,430600
4.2083,125000
6.1023,450000
3.9864,200200
4.8624,192400
9.1531,418800
4.7361,216800
5.4324,215500
4.9375,227700
3.3841,184400
3.5532,158400
3.3618,174600
4.3533,168400
4.5357,188400
5.7068,256700
3.7212,183800
5.2443,183400
4.2361,177500
3.1856,186900
5.4496,238900
3.0222,172500
2.6667,179200
3.7301,204400
4.6806,209400
5.7907,264200
6.3705,350000
5.2649,199800
6.0797,211000
4.8571,201100
3.8523,193000
5.98,245000
2.45,117600
2.2417,97900
3.15,140600
3.4609,120900
3,119000
3.2031,129200
2.5208,99100
2.3549,108900
3.0125,111700
2.05,68900
3.125,96400
2.65,116700
3.5,123800
2.5476,97900
3.9107,129800
4.2917,121300
3.3393,107200
4.3029,121900
2.8125,113400
3.5508,99100
3.2589,103000
3.2937,114200
3.0465,144100
2.3125,128600
2.525,157200
3.175,118500
2.6078,116700
2.7399,134800
2.7236,109900
4.4531,144300
3.2135,123600
3.1142,112600
3.0068,107300
3.0905,117800
1.9362,89900
2.3155,102300
2.0094,87300
3.07,142600
1.6785,153100
3.6625,126600
3.5046,118300
3.9,147000
1.8095,78100
2.2833,85800
1.5633,84500
3.4191,137500
0.9393,88900
1.1019,120200
1.7284,74500
2.2621,85100
2.575,130300
4.3309,125200
3.0253,111400
3.2016,97000
3.1125,122600
3.0625,116300
2.125,179200
2.2925,85800
1.6797,94800
1.5481,200000
0.987,112500
0.9566,69000
1.3672,55000
2.0064,77900
1.6911,98800
1.6827,78700
1.5863,81300
1.7426,60300
1.5064,66300
2.0288,116700
4.5032,159700
3.7007,139200
3.5735,89600
3.5375,153100
2.8306,87500
4.712,158600
2.3833,95100
3.0625,93800
2.7143,95300
3.5189,141300
2.4028,67500
2.3036,73000
2.8657,119600
2.2419,93200
2.4537,117900
2.5374,97200
2.3507,97600
2.3079,95300
2.6147,107700
2.567,102900
1.625,88300
1.4048,86500
2.1838,58000
1.875,84000
2.963,89500
2.6823,93400
2.1912,115200
2.0458,105700
2.3068,97300
2.7863,108600
2.0882,104900
3.1061,110200
1.7875,103800
2.2,80800
2.3403,87300
1.8245,85500
2.5428,85000
1.8125,93500
3,96700
2.8182,109700
1.7788,85800
1.0625,92800
1.8616,70500
2.3711,121800
3.066,102600
2.9625,101200
3.13,168300
2.4623,126100
2.3798,83800
1.9766,92600
2.3958,111200
1.6948,87500
2.3895,87500
2.8871,94700
2.3684,62500
1.4896,83300
2.3917,85700
1.7708,79500
1.7308,53600
1.5771,65200
2.1467,84100
2.9562,142300
3.9028,93800
3.0446,90800
3.2174,91800
2.6921,97500
4.5156,91200
2.4821,73800
2.9688,86400
2.502,62100
2.334,72200
2.0357,57600
0.8024,58300
1.1607,51700
1.3654,57900
1.6352,53100
1.5714,56100
1.9956,58000
1.6389,56700
2.1658,57600
1.6346,63300
1.8661,59800
1.4833,65200
0.8252,42500
1.0585,45100
1.3289,39400
1.5313,50300
1.8047,53800
2.4952,53900
2.2045,41800
2.9965,88900
3.2833,82600
2.6563,63600
2.0455,59400
1.3611,60600
2.6071,57100
1.7727,49000
2.3566,80400
2.425,96200
3.0208,60000
2.5313,61300
2.1776,73800
1.9943,86300
1.7552,86400
2.6607,84600
2.7891,73500
2.3224,56200
1.7885,57000
1.91,63900
2.0474,56000
1.8355,63000
2.3243,85500
2.5259,81300
2.2813,57600
2.1728,59400
2.4943,81900
3.3929,82100
2.3816,116000
2.5,116100
2.3654,94900
2.9063,92200
2.2875,79900
2.6528,133000
3,122600
2.9821,90400
2.0472,93200
4.0109,125900
3.636,133100
3.8488,130600
2.1382,104000
2.5473,101600
2.0417,92600
2.6417,122300
2.4583,112500
2.6667,86600
2.5667,77400
2.7344,91900
3.024,100900
1.625,94700
2.2604,84800
2.8208,139900
3.75,121400
4.4063,155800
2.9821,111500
2.6942,123500
2.5352,113700
3.3542,103800
3.075,108300
3.125,77500
2.7841,65800
2.9489,67500
2.2754,59200
2.7137,72000
3.2625,92800
3.017,112500
2.25,75000
3.125,108000
2.331,65500
2.875,61500
2.5625,62700
1.7463,68800
2.2679,69100
2.5556,75800
2.4559,75000
2.1845,112500
3.4402,192400
3.6694,209400
3.2619,183800
5.0016,189100
4.9618,156500
5.0468,168800
3.6411,162800
5.1041,172900
3.3558,129700
4.375,213500
1.6554,119400
2.8828,131100
3.8125,125400
3.2813,151400
4.7426,263100
4.8958,187100
2.2216,156700
5.7104,186300
4.6587,152500
5.1017,241400
6.9051,340900
3.691,154400
4.4583,253900
2.2532,109400
2.2361,105100
2.2639,128500
2.2361,93800
2.1719,99100
1.5988,96400
3.4722,127000
0.536,87500
4.4491,133900
3.1728,146800
3.6118,124700
2.7234,110200
3.5179,130800
5.3245,174500
3.9861,168100
4.8194,170400
5.1435,150800
5.0164,165200
2.6364,93500
2.8466,113400
2.905,97300
4.4583,131000
4.2647,133400
2.0411,100000
2.5495,103600
4.8359,145300
4.9167,152400
4.4853,145900
4.7566,142500
1.7161,75800
3.3625,126100
4.6029,142600
5.6779,164700
2.5893,108500
5.6506,178600
5.7321,164700
3.5368,122500
5.5,179500
5.4409,205100
4.1111,158600
1.2024,90200
1.3958,67500
2.7083,99400
2,101400
2.0034,87700
2.5737,87000
3.3371,94600
3.6154,181800
3.1389,117800
4.1947,140300
2.7374,150000
4.2227,134400
5.3098,151900
3.5857,165200
5.25,161700
4.1016,170500
5.5676,174200
4.8542,144100
4.9783,163900
3.0042,103900
2.1417,122200
4.6628,136000
5.102,156500
4.0972,99200
3.5129,110600
4.1094,162200
6.0497,177500
6.1237,166000
5.3363,160800
5.1337,154800
4.0767,143100
1.4871,87100
3.016,95300
2.1013,100700
2.7907,113900
3.5436,100200
4.2067,125000
3.4817,129800
2.5833,83500
3.7043,139800
3.3661,98500
4.8693,156900
6.0424,165900
2.0523,133900
2.5795,225000
2.9583,166000
1.8523,144800
4.5,178300
2.1974,139300
2.5481,150800
5.1265,196100
3.1711,116100
3.3831,129400
4.2042,166400
3.9519,126500
3.609,135700
4.1189,172400
3.8824,113700
3.6523,159700
3.625,156300
5.2015,204200
5.76,212600
5.0509,199900
5.4496,205400
5.1297,206700
4.3875,287700
6.6579,245200
6.9961,294100
6.135,297300
5.6875,211000
4.675,225400
5.6931,269600
4.3571,228200
6.3699,235500
4.5401,166900
4.0154,186100
3.7262,211800
5.0172,197100
4.2917,189600
6.0859,266000
4.7386,186400
4.5893,190000
5.0672,243000
4.8702,235600
5.0445,196200
3.9816,182000
4.175,169400
2.5459,179300
2.5268,235700
3.5057,205100
2.892,220800
5.0761,233200
4.725,232100
4.475,265700
6.0265,247900
6.1922,273200
3.2484,91100
3.2,134500
4.125,136200
6.1359,250000
2.8043,87500
1.8229,137500
3.7333,136400
2.3462,75000
1.3894,156300
2.3152,140600
5.7295,178300
4.5707,175900
3.8897,139900
3.6042,138200
4.6375,178200
4.9022,169300
4.45,161900
4.59,166600
3.4531,148900
3.5179,165500
4.317,194000
5.1118,226900
5.1021,202800
3.6449,211500
2.8456,165500
3.4187,161700
5.4607,192300
5.0915,193200
4.4536,184000
6.2135,217200
4.9219,182000
4.525,161300
4.0507,161000
3.7841,144900
6.1436,259500
6.1168,210500
5.0092,244100
4.7891,184800
5.2145,229200
3.6133,196100
3.65,204100
5.7512,240200
5.9617,231100
5.2442,213200
5.1333,207200
4.6071,184100
3.7,179000
4.5833,190700
3.0859,167800
5.431,246700
3.1573,126700
7.6166,260400
5.5872,200600
6.7371,267400
6.7821,265900
5.3794,206200
4,171000
3.25,151100
2.9861,160900
2.9915,166700
2.9097,106300
2.5841,112500
3.1968,151000
2.2411,151800
3.8456,159800
3.6964,165700
1.837,175000
3.1838,182000
5.4482,190800
6.0901,298200
6.6727,305100
2.1083,162500
3.1719,220500
2.4519,208300
4.9485,202300
5.6642,237000
4.2569,213100
6.7061,322300
4.125,267100
6.0704,268000
6.3809,273600
6.8145,339200
7.5898,330200
3.1406,163100
5.6292,231400
4.6602,227800
4.7188,197100
2.85,144600
5.5777,279300
6.0918,344800
4.0473,266500
4.45,184900
4.7094,234700
7.4713,351200
6.5847,358800
7.6877,367700
5.0362,275300
4.1612,232800
2.6998,216100
3.1002,114300
5.0255,226000
3.7433,252100
4.4312,225000
4.4561,250000
6.195,264900
5.0391,259800
3.6833,292500
5.0499,306800
7.0895,306900
4.3864,266800
6.2924,283900
5.1097,288000
5.5636,268800
5.6558,263300
6.5378,340900
6.7192,397500
2.9526,271000
4.6528,335700
4.2625,310600
7.5349,349100
4.8088,321200
5.6986,275800
7.5,356200
4.6424,312700
6.112,390600
9.5862,469400
6.2726,258200
6.1265,260300
6.2048,275000
3.375,350000
6.3325,250000
6.2631,266000
6.2781,269800
2.4821,157200
6.8806,343500
6.6204,296100
6.6131,312500
7.6473,345800
8.155,343700
5.5921,359100
8.3188,403400
7.9168,356000
7.8287,369200
6.7857,341300
6.3942,356700
9.7037,425100
4.6932,356100
10.3345,461400
12.5915,432400
3.1591,434700
15.0001,350000
6.7027,381900
7.2216,324600
7.9393,399300
7.7072,443800
6.5617,386600
4.6042,256400
3.375,200000
9.8708,500001
5.1755,294800
4.9018,188500
7.6518,359300
8.2673,358700
7.3732,287300
8.4352,441400
7.2655,494000
10.7372,500001
13.4883,500001
7.5139,398200
9.5271,500001
12.2478,500001
8.0839,372000
8.003,351300
9.0776,450400
8.039,382200
10.4549,500001
6.5095,294400
10.3224,500001
8.3678,455300
6.8686,406500
5.2079,310300
4.3235,279500
6.4666,348200
8.0448,433300
4.125,257100
2.7411,350000
10.3713,426100
6.2275,394400
3.5536,387200
2.3971,99400
2.933,85000
2.9167,102700
3.6437,186500
3.12,155000
4.4551,252400
3.5893,206300
2.4896,73400
7.2315,367100
7.6202,402600
6.5814,314200
8.0074,454100
11.7064,500001
7.6717,416500
6.6657,364500
7.203,369900
11.3421,500001
4.5744,314000
7.3267,389900
5.6349,355600
7.52,370200
8.1586,404300
4.9,354200
8.9571,399700
8.7589,434500
7.6917,401800
7.6107,423200
6.917,438000
2.4444,475000
7.3195,367500
7.7736,378100
10.9405,500001
10.3416,500001
9.0064,500001
8.1489,499000
5.2699,204200
6.4753,166800
5.5601,213700
2.875,162500
10.5815,500001
13.2949,500001
13.1499,500001
8.3209,485400
2.9591,210100
5.1582,194700
4.1483,181200
6.8642,285400
6.6134,307000
8.3956,353600
8.1163,365800
9.0243,427700
7.3445,366700
5.2798,237400
7.1978,288000
8.7059,329400
6.2296,291700
7.5695,320400
6.299,286900
6.6049,312600
5.9346,253600
5.7001,205100
5.6293,197600
6.0224,198500
6.7741,310700
3.125,171100
2.5517,147100
3.6154,155700
5.6022,197000
4.4474,203700
2.3103,134500
3.9345,150200
2.694,123000
1.6767,147700
5.0969,174200
3.4471,178900
4.025,173200
4.3173,175400
4.4394,162000
4.621,191100
3.2759,195000
4.375,193300
5.1178,198000
5.8899,243200
6.0289,218600
5.0473,184800
5.7862,269400
6.0102,235600
6.5006,237700
4.2269,170500
5.2375,246400
5.8418,240300
6.1576,248700
6.2073,272900
5.1046,209800
5.5,201000
6.0666,272400
3.6393,184000
3.5353,164700
4.4911,227400
3.375,149700
4.4387,190000
4.45,196600
3.8343,191400
4.3958,194200
4.35,185000
4.2348,157800
3.6518,164300
3.9722,161000
4.6944,171100
2.9781,109000
4.3333,170800
4.2852,173500
4.0437,162800
2.6167,85100
6.0115,175000
3.911,112500
4.125,212500
0.716,104200
1.5347,80400
1.8333,69800
1.6023,81300
0.9797,76400
0.7403,68600
1.4583,67500
3.9773,131300
3.7562,132900
6.0426,110000
2.0353,113600
2.5863,112200
3.2188,113800
4.6937,134100
4.5,156600
3.3125,158800
4.4135,150100
3.5463,130800
2.3382,120700
3.9118,129400
2.5164,114200
1.875,97200
2.0724,97700
2.6328,110300
2.5461,93900
1.8664,107800
3.375,133700
4.0417,182800
2.5769,146100
2.1915,120800
2.1991,133300
2.5382,103600
3.7277,165100
5.5196,210800
3.9464,186900
3.7708,144600
2.8833,140400
3.5848,140800
3.1571,141600
3.9417,139100
4.0526,150800
3.6719,134100
3.0313,135800
4.0927,142600
3.0694,135300
2.875,133400
3.2333,135100
3.2833,111700
3.0737,111600
3.6094,114600
2.7714,104700
3.942,143300
2.7391,140300
1.681,145500
3.125,143900
2.3456,105200
1.6571,105200
2.8967,95600
1.5139,81700
3.0862,79000
0.9687,105800
1.3365,72900
1.822,79700
1.3167,71600
